4
460,120
480,120
500,120
520,120
540,120
560,120
460,140
480,140
500,140
520,140
540,140
560,140
560,160
540,160
500,160
480,160
460,160
460,180
480,180
500,180
520,180
520,160
540,180
560,180
520,200
520,220
540,220
540,200
560,200
500,200
560,220
300,460
320,460
340,460
360,460
380,460
400,460
400,440
380,440
340,440
360,440
320,440
300,440
300,480
320,480
340,480
360,480
380,480
400,480
300,500
300,520
300,540
320,540
340,540
360,540
380,540
400,540
400,520
400,500
340,500
360,500
460,200
460,220
480,220
500,220
320,520
380,520
340,520
360,520
320,560
340,560
360,560
380,560
500,240
500,260
520,260
540,260
560,260
560,240
540,240
320,420
380,420
720,180
700,200
700,220
700,240
700,260
720,280
740,280
760,280
780,280
800,260
800,240
800,220
800,200
780,180
760,180
740,180
740,200
740,220
740,240
740,260
760,200
760,220
760,240
760,260
720,200
720,240
720,260
780,200
780,240
780,260
740,340
720,340
700,360
700,340
680,360
760,340
780,340
800,340
820,360
800,360
740,320
720,320
760,320
780,320
640,540
660,540
680,540
700,540
740,540
720,540
720,560
700,560
680,560
660,560
640,560
640,580
660,580
680,580
700,580
720,580
740,580
740,560
740,600
720,600
700,600
660,600
640,600
680,600
760,600
760,580
760,560
760,540
760,520
760,500
740,500
720,500
700,500
640,520
640,500
660,500
680,500
660,620
740,620
480,520
460,520
460,540
480,540
500,540
500,520
520,520
540,520
560,520
560,540
540,540
520,540
460,560
460,580
480,580
500,580
520,580
540,580
560,580
560,560
480,560
500,560
540,560
460,600
480,600
500,600
520,600
540,600
560,600
540,360
520,360
520,380
540,380
500,340
500,400
560,340
560,400
40,320
60,320
80,320
540,700
520,700
220,260
600,40
860,200
860,180
860,160
880,160
860,80
820,80
780,80
760,80
720,80
880,700
900,700
900,680
880,680
900,660
900,640
900,620
920,620
920,640
920,660
920,680
920,700
920,720
900,720
