14
820,680
800,580
960,500
700,480
760,400
960,340
800,280
660,340
540,500
620,580
720,620
860,440
1000,260
900,220
760,160
560,240
560,340
480,400
380,480
380,600
300,420
240,580
280,660
400,700
500,600
560,600
680,220
360,260
360,320
240,320
240,260
280,200
280,140
260,80
80,260
220,260
200,260
60,260
40,260
20,260
0,260
180,20
140,180
180,460
120,560
60,480
40,400
40,320
60,640
140,680
220,700
1080,420
1100,300
1120,160
760,60
460,280
460,200
940,20
820,20
440,40
420,40
400,40
380,40
380,60
380,80
380,100
380,120
400,120
420,120
440,120
440,100
440,80
420,80
480,80
480,100
480,120
500,120
520,120
500,80
520,80
520,100
560,80
560,100
560,120
580,120
600,160
600,120
600,100
600,80
580,80
640,100
660,120
680,100
660,80
680,60
680,80
680,120
640,120
640,80
760,80
760,100
760,120
780,120
820,100
820,120
840,120
860,120
860,100
860,80
820,80
940,80
920,80
900,80
900,100
900,120
920,120
940,120
980,100
980,120
980,80
980,60
1000,100
1020,120
1020,80
1060,120
1060,80
1060,60
1060,40
1040,200
540,660
640,700
